title,author,urls,avg_rating,num_ratings,date_published,booktok_popularity
"The Queen's Rising (The Queen’s Rising, #1)",Rebecca Ross,https://www.goodreads.com/book/show/35098412-the-queen-s-rising,4.01,"                15,633",2018,844
Four Dead Queens (Hardcover),Astrid Scholte,https://www.goodreads.com/book/show/40367270-four-dead-queens,3.79,"                20,620",2019,845
"There Will Come a Darkness (The Age of Darkness, #1)",Katy Rose Pool,https://www.goodreads.com/book/show/41823536-there-will-come-a-darkness,3.79,"                8,212",2019,846
Master of Salt & Bones (Kindle Edition),Keri Lake,https://www.goodreads.com/book/show/50702585-master-of-salt-bones,4.00,"                11,137",2020,847
"A Strange Hymn (The Bargainer, #2)",Laura Thalassa,https://www.goodreads.com/book/show/32871581-a-strange-hymn,4.04,"                41,334",2017,848
Mr. Wrong Number (Kindle Edition),Lynn Painter,https://www.goodreads.com/book/show/58419108-mr-wrong-number,3.75,"                15,706",2022,849
Restore me,J.L. Seegars,https://www.goodreads.com/book/show/59475898-restore-me,4.15,"                1,263",2022,850
"Ignite (Cloverleigh Farms, #6)",Melanie Harlow,https://www.goodreads.com/book/show/59562844-ignite,4.20,"                22,243",2021,851
I Kissed Shara Wheeler (Hardcover),Casey McQuiston,https://www.goodreads.com/book/show/58756420-i-kissed-shara-wheeler,4.23,"                14,599",2022,852
The Longing of Lone Wolves (Fae Guardians #1),Lana Pecherczyk,https://www.goodreads.com/book/show/53303848-the-longing-of-lone-wolves,4.09,"                3,610",2021,853
Book of Night (Hardcover),Holly Black,https://www.goodreads.com/book/show/58293924-book-of-night,3.60,"                10,632",2022,854
"One Moment Please (Wait With Me, #3)",Amy Daws,https://www.goodreads.com/book/show/43582648-one-moment-please,4.12,"                15,939",2020,855
Find Me (WITSEC #1),Ashley N. Rostek,https://www.goodreads.com/book/show/58570701-find-me,4.54,"                10,146",2021,856
"Secrets We Hunt (One Night, #2)",Dana Isaly,https://www.goodreads.com/book/show/58553894-secrets-we-hunt,3.57,"                11,164",2022,857
Into the Dark (Kindle Edition),Dana Isaly,https://www.goodreads.com/book/show/58503867-into-the-dark,3.69,"                2,949",2021,858
Little Devil (Kindle Edition),Bethany Winters,https://www.goodreads.com/book/show/58502916-little-devil,4.09,"                4,006",2021,859
"The Spy (Kingmakers, #4)",Sophie Lark,https://www.goodreads.com/book/show/57731894-the-spy,4.48,"                7,811",2021,860
"Gilded (Gilded, #1)",Marissa Meyer,https://www.goodreads.com/book/show/56614597-gilded,3.95,"                15,667",2021,861
Moon Touched (Zodiac Wolves #1),Elizabeth Briggs,https://www.goodreads.com/book/show/58779311-moon-touched,4.17,"                11,286",2021,862
"Broken Vow (Brutal Birthright, #5)",Sophie Lark,https://www.goodreads.com/book/show/55313082-broken-vow,4.24,"                12,811",2020,863
Don't Kiss the Bride (Kindle Edition),Carian Cole,https://www.goodreads.com/book/show/56894372-don-t-kiss-the-bride,4.15,"                15,805",2021,864
She Gets the Girl (Hardcover),Rachael Lippincott,https://www.goodreads.com/book/show/58437812-she-gets-the-girl,4.26,"                6,837",2022,865
"Daughter of No Worlds (The War of Lost Hearts, #1)",Carissa Broadbent,https://www.goodreads.com/book/show/49826643-daughter-of-no-worlds,4.21,"                3,827",2020,866
Convenience Store Woman (Paperback),Sayaka Murata,https://www.goodreads.com/book/show/38357895-convenience-store-woman,3.72,"                150,758",2016,867
"Flame and Starlight (The Esteria, #1)",Dana Isaly,https://www.goodreads.com/book/show/57877026-flame-and-starlight,3.44,"                2,112",2021,868
"A Lie for a Lie (All In, #1)",Helena Hunting,https://www.goodreads.com/book/show/44776456-a-lie-for-a-lie,3.99,"                29,227",2019,869
"Fight Dirty (Black Rose Kisses, #1)",Eva Ashwood,https://www.goodreads.com/book/show/55162671-fight-dirty,4.05,"                3,864",hed ,870
